the_geom,Address,Suffix,Street,OnStr,OnStrProper,FromStr,toStr,Side,Site,SPP,DBH,WIRES,PITTYPE,WARD,longitude,latitude
POINT (-71.4053985482956 41.827643811123096),55,,ANGELL ST,ANGELL ST,Angell St,BENEFIT ST,PROSPECT ST,Front,5,Tilia cordata,7,No,Sidewalk Pit,2,-71.40539855,41.82764381
POINT (-71.40472846000627 41.82522050871407),37,,GEORGE ST,GEORGE ST,George St,BENEFIT ST,MAGEE ST,Front,3,Gleditsia triacanthos,4,No,Sidewalk Pit,2,-71.40472846,41.82522051
POINT (-71.40025269703057 41.82528794154482),151,,THAYER ST,THAYER ST,Thayer St,GEORGE ST,BENEVOLENT ST,Front,1,Betula nigra,2,No,Sidewalk Pit,1,-71.4002527,41.82528794
POINT (-71.39814895757306 41.83204881923292),235,,LLOYD AVE,LLOYD AVE,Lloyd Ave,HOPE ST,ARLINGTON AVE,Front,5,Pyrus calleryana,4,Yes,Lawn Strip,2,-71.39814896,41.83204882
POINT (-71.40346120882096 41.82984913933488),109,,BROWN ST,BROWN ST,Brown St,CUSHING ST,BOWEN ST,Front,2,Gleditsia triacanthos,6,No,Sidewalk Pit,2,-71.40346121,41.82984914
POINT (-71.40368642180532 41.82525348783969),59,,GEORGE ST,GEORGE ST,George St,MAGEE ST,BROWN ST,Front,4,Gleditsia triacanthos,1.2,No,Sidewalk Pit,2,-71.40368642,41.82525349
POINT (-71.39743731460375 41.82312651580083),137,,POWER ST,POWER ST,Power St,BROOK ST,HOPE ST,Front,1,Ulmus spp.,27,Yes,Sidewalk Pit,1,-71.39743731,41.82312652
POINT (-71.40732119007386 41.824857666166444),129,Y,S MAIN ST,S MAIN ST,S Main St,COLLEGE ST,PACKET ST,Front,1,Pyrus calleryana,3,No,Sidewalk Pit,1,-71.40732119,41.82485767
POINT (-71.40060094440372 41.83245474906614),112,,KEENE ST,HOPE ST,Hope St,BARNES ST,KEENE ST,Side,2,Acer rubrum,11.5,No,Sidewalk Pit,2,-71.40060094,41.83245475
POINT (-71.39723552231254 41.82404981076844),134,,HOPE ST,HOPE ST,Hope St,POWER ST,CHARLESFIELD ST,Front,1,Tilia americana,2,No,Sidewalk Pit,1,-71.39723552,41.82404981
POINT (-71.40271042135596 41.82907655456546),172,,MEETING ST,MEETING ST,Meeting St,THAYER ST,BROWN ST,Front,2,Platanus x acerifolia,6.4,Yes,Sidewalk Pit,2,-71.40271042,41.82907655
POINT (-71.4030882891948 41.82538090702101),72,Y,GEORGE ST,GEORGE ST,George St,BROWN ST,PROSPECT ST,Front,3,Ulmus spp.,3.5,No,Sidewalk Pit,2,-71.40308829,41.82538091
POINT (-71.39843729503951 41.831954888624104),235,,LLOYD AVE,LLOYD AVE,Lloyd Ave,HOPE ST,ARLINGTON AVE,Front,3,Pyrus calleryana,6.9,Yes,Lawn Strip,2,-71.3984373,41.83195489
POINT (-71.39775136403448 41.82794297760936),130,,WATERMAN ST,FONES ALY,Fones Aly,HOPE ST,BROOK ST,Rear,1,Gleditsia triacanthos,22,No,Lawn - No Sidewalk,1,-71.39775136,41.82794298
POINT (-71.3965446948018 41.823296253220455),150,,POWER ST,POWER ST,Power St,HOPE ST,COOKE ST,Front,2,Tilia cordata,20,Yes,Sidewalk Pit,1,-71.39654469,41.82329625
POINT (-71.39534484434643 41.829885613606436),53,,STIMSON AVE,STIMSON AVE,Stimson Ave,DIMAN PL,ANGELL ST,Front,2,Pyrus calleryana,8.7,No,Lawn Strip,2,-71.39534484,41.82988561
POINT (-71.4002559550906 41.82441426006265),112,Y,THAYER ST,THAYER ST,Thayer St,GEORGE ST,CHARLESFIELD ST,Front,4,Platanus x acerifolia,28.5,Yes,Sidewalk Pit,2,-71.40025596,41.82441426
POINT (-71.40533935550657 41.82691992485078),62,,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,BENEFIT ST,Front,3,Tilia cordata,7,No,Sidewalk Pit,2,-71.40533936,41.82691992
POINT (-71.39971035259227 41.8295608666801),450,,BROOK ST,BROOK ST,Brook St,BOWEN ST,CUSHING ST,Front,8,Zelkova serrata,7,Yes,Lawn Strip,2,-71.39971035,41.82956087
POINT (-71.40673521144305 41.82709725288234),30,,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,BENEFIT ST,Front,4,Pyrus calleryana,10,No,Sidewalk Pit,2,-71.40673521,41.82709725
POINT (-71.39633860278435 41.829796676306174),30,,STIMSON AVE,STIMSON AVE,Stimson Ave,DIMAN PL,HOPE ST,Front,4,Acer rubrum,5.9,No,Lawn Strip,2,-71.3963386,41.82979668
POINT (-71.39986870134267 41.83180073350665),250,,LLOYD AVE,HOPE ST,Hope St,LLOYD AVE,ALUMNI AVE,Side,1,Ulmus americana,3.4,Yes,Lawn Strip,2,-71.3998687,41.83180073
POINT (-71.40337624997852 41.82698603802873),75,,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,THAYER ST,Front,3,Zelkova serrata,6,No,Sidewalk Pit,2,-71.40337625,41.82698604
POINT (-71.39957938182935 41.825655958505926),156,,GEORGE ST,GEORGE ST,George St,BROOK ST,THAYER ST,Front,6,Quercus palustris,18.7,No,Sidewalk Pit,1,-71.39957938,41.82565596
POINT (-71.4035376517784 41.829587323405),100,,BROWN ST,BROWN ST,Brown St,CUSHING ST,MEETING ST,Front,1,Celtis occidentalis,7.1,Yes,Lawn Strip,2,-71.40353765,41.82958732
POINT (-71.40015754090392 41.82459193353801),111,,THAYER ST,THAYER ST,Thayer St,BENEVOLENT ST,CHARLESFIELD ST,Front,2,Ulmus spp.,8,No,Sidewalk Pit,1,-71.40015754,41.82459193
POINT (-71.39603437470159 41.82336370102772),150,,POWER ST,POWER ST,Power St,HOPE ST,COOKE ST,Front,1,Tilia cordata,9,No,Lawn Strip,1,-71.39603437,41.8233637
POINT (-71.40059736963482 41.8270684088091),190,,THAYER ST,THAYER ST,Thayer St,WATERMAN ST,GEORGE ST,Front,1,Platanus x acerifolia,5,No,Sidewalk Pit,2,-71.40059737,41.82706841
POINT (-71.4017749291788 41.82547884892483),106,Y,GEORGE ST,GEORGE ST,George St,THAYER ST,PROSPECT ST,Front,1,Platanus x acerifolia,26,No,Sidewalk Pit,2,-71.40177493,41.82547885
POINT (-71.39557101879652 41.82513094432762),110,,BENEVOLENT ST,BENEVOLENT ST,Benevolent St,COOKE ST,HOPE ST,Front,1,Zelkova serrata,29,No,Sidewalk Pit,1,-71.39557102,41.82513094
POINT (-71.39731049164084 41.82735307338441),190,,HOPE ST,HOPE ST,Hope St,WATERMAN ST,GEORGE ST,Front,2,Tilia cordata,15,No,Lawn Strip,1,-71.39731049,41.82735307
POINT (-71.40291796892087 41.82380738725968),15,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,BROWN ST,BENEFIT ST,Front,2,Platanus x acerifolia,10.4,No,Sidewalk Pit,2,-71.40291797,41.82380739
POINT (-71.39923019313872 41.82644053265567),340,,BROOK ST,BROOK ST,Brook St,WATERMAN ST,GEORGE ST,Side,1,Acer platanoides,6.05,No,Sidewalk Pit,1,-71.39923019,41.82644053
POINT (-71.39997113349222 41.82310914641673),56,,CHARLESFIELD ST,THAYER ST,Thayer St,CHARLESFIELD ST,POWER ST,Side,10,Tilia cordata,11,No,Sidewalk Pit,1,-71.39997113,41.82310915
POINT (-71.39379434738366 41.83255669232576),86,Y,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,UNIVERSITY AVE,IRVING AVE,Front,1,Platanus x acerifolia,50,No,Lawn - No Sidewalk,2,-71.39379435,41.83255669
POINT (-71.40573513896035 41.824568400236),286,,BENEFIT ST,BENEFIT ST,Benefit St,HOPKINS ST,PLANET ST,Front,1,Platanus x acerifolia,18,No,Sidewalk Pit,2,-71.40573514,41.8245684
POINT (-71.40447047740913 41.823338654004864),322,,BENEFIT ST,BENEFIT ST,Benefit St,PLANET ST,POWER ST,Front,2,Platanus x acerifolia,16,No,Sidewalk Pit,2,-71.40447048,41.82333865
POINT (-71.40085276055686 41.82813232681444),164,,ANGELL ST,ANGELL ST,Angell St,THAYER ST,BROWN ST,Front,1,Gleditsia triacanthos,10.7,No,Sidewalk Pit,2,-71.40085276,41.82813233
POINT (-71.40702084192631 41.82438609684002),129,Y,S MAIN ST,S MAIN ST,S Main St,COLLEGE ST,PACKET ST,Front,6,Pyrus calleryana,2,No,Sidewalk Pit,1,-71.40702084,41.8243861
POINT (-71.39775640762382 41.823095144275044),133,,POWER ST,POWER ST,Power St,BROOK ST,HOPE ST,Front,1,Prunus serrulata 'Kwanzan',5,Yes,Sidewalk Pit,1,-71.39775641,41.82309514
POINT (-71.40317508430482 41.827002027468545),75,,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,THAYER ST,Front,5,Zelkova serrata,6,No,Sidewalk Pit,2,-71.40317508,41.82700203
POINT (-71.40324117510785 41.8252849678959),71,,GEORGE ST,GEORGE ST,George St,MAGEE ST,BROWN ST,Front,3,Ulmus spp.,4.2,No,Sidewalk Pit,2,-71.40324118,41.82528497
POINT (-71.4003182251232 41.82726968892586),109,,WATERMAN ST,WATERMAN ST,Waterman St,THAYER ST,BROOK ST,Front,2,Gleditsia triacanthos,9,No,Sidewalk Pit,1,-71.40031823,41.82726969
POINT (-71.39702522635912 41.827652055751784),193,,HOPE ST,HOPE ST,Hope St,COOKE ST,HOPE ST,Side,3,Gleditsia triacanthos,6,No,Lawn Strip,1,-71.39702523,41.82765206
POINT (-71.40489472417875 41.830596532573885),147,,BOWEN ST,BOWEN ST,Bowen St,PROSPECT ST,BROWN ST,Front,1,Tilia americana,24.6,Yes,Lawn Strip,2,-71.40489472,41.83059653
