the_geom,Address,Suffix,Street,OnStr,OnStrProper,FromStr,toStr,Side,Site,SPP,DBH,WIRES,PITTYPE,WARD,longitude,latitude
POINT (-71.39624530366208 41.82756489833822),149,Y,WATERMAN ST,WATERMAN ST,Waterman St,HOPE ST,COOKE ST,Front,3,Zelkova serrata,9,No,Sidewalk Pit,1,-71.3962453,41.8275649
POINT (-71.40386968915814 41.827771225549235),97,,ANGELL ST,ANGELL ST,Angell St,PROSPECT ST,BROWN ST,Front,1,Tilia spp.,30,No,Sidewalk Pit,2,-71.40386969,41.82777123
POINT (-71.39774815539225 41.82844029594067),216,,HOPE ST,ANGELL ST,Angell St,HOPE ST,BROOK ST,Side,1,Ulmus 'Patriot',6.2,No,Sidewalk Pit,2,-71.39774816,41.8284403
POINT (-71.39720201453169 41.82385193968887),134,,HOPE ST,HOPE ST,Hope St,POWER ST,CHARLESFIELD ST,Front,3,Tilia cordata,3,No,Sidewalk Pit,1,-71.39720201,41.82385194
POINT (-71.40477706340185 41.82887919103815),65,,PROSPECT ST,MEETING ST,Meeting St,PROSPECT ST,BROWN ST,Side,1,Prunus spp.,4.4,Yes,Sidewalk Pit,2,-71.40477706,41.82887919
POINT (-71.4033431916115 41.82851306745177),84,,BROWN ST,BROWN ST,Brown St,MEETING ST,OLIVE ST,Front,1,Zelkova serrata,2.4,Yes,Sidewalk Pit,2,-71.40334319,41.82851307
POINT (-71.39904524303613 41.82508849856951),80,,BROOK ST,BROOK ST,Brook St,GEORGE ST,BENEVOLENT ST,Front,2,Ulmus americana,3,No,Sidewalk Pit,1,-71.39904524,41.8250885
POINT (-71.39264367971808 41.830484207773615),20,Y,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,HUMBOLDT AVE,VILLA AVE,Front,5,Acer rubrum,5.7,No,Lawn - No Sidewalk,2,-71.39264368,41.83048421
POINT (-71.40495464270329 41.82768178564532),71,,ANGELL ST,ANGELL ST,Angell St,BENEFIT ST,PROSPECT ST,Front,2,Acer campestre,9,No,Sidewalk Pit,2,-71.40495464,41.82768179
POINT (-71.4048365989402 41.82369393866278),312,,BENEFIT ST,BENEFIT ST,Benefit St,HOPKINS ST,PLANET ST,Front,2,Ulmus spp.,5.4,No,Sidewalk Pit,2,-71.4048366,41.82369394
POINT (-71.39903952335867 41.82495290959359),80,,BROOK ST,BROOK ST,Brook St,GEORGE ST,BROOK ST,Front,5,Acer rubrum,3,No,Sidewalk Pit,1,-71.39903952,41.82495291
POINT (-71.40416725782647 41.82968331156264),32,,CUSHING ST,CUSHING ST,Cushing St,BROWN ST,PROSPECT ST,Front,1,Quercus palustris,22.3,No,Sidewalk Pit,2,-71.40416726,41.82968331
POINT (-71.40624076192559 41.82758834829371),30,,WATERMAN ST,ANGELL ST,Angell St,BENEFIT ST,PROSPECT ST,Rear,9,Gleditsia triacanthos,2,No,Sidewalk Pit,2,-71.40624076,41.82758835
POINT (-71.3978476684294 41.82403334110583),100,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,HOPE ST,BROOK ST,Front,5,Cornus florida,2,Yes,Sidewalk Pit,1,-71.39784767,41.82403334
POINT (-71.39988166914621 41.823886007598475),60,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,THAYER ST,BROOK ST,Front,7,Tilia cordata,7,Yes,Sidewalk Pit,1,-71.39988167,41.82388601
POINT (-71.39583073017589 41.82766798609528),150,,WATERMAN ST,WATERMAN ST,Waterman St,COOKE ST,HOPE ST,Front,3,Gleditsia triacanthos,9,No,Sidewalk Pit,1,-71.39583073,41.82766799
POINT (-71.39379650937556 41.832710046594244),93,,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,IRVING AVE,UNIVERSITY AVE,Front,1,Gleditsia triacanthos,14,Yes,Lawn Strip,2,-71.39379651,41.83271005
POINT (-71.39865340093303 41.83000121068176),220,Y,HOPE ST,HOPE ST,Hope St,CUSHING ST,MEETING ST,Front,1,Quercus palustris,4.4,No,Sidewalk Pit,2,-71.3986534,41.83000121
POINT (-71.40151470962799 41.82799057766429),135,,ANGELL ST,ANGELL ST,Angell St,BROWN ST,THAYER ST,Front,3,Gleditsia triacanthos,9,No,Sidewalk Pit,2,-71.40151471,41.82799058
POINT (-71.40546770246097 41.82680515721483),62,,COLLEGE ST,WATERMAN ST,Waterman St,BENEFIT ST,PROSPECT ST,Rear,2,Tilia cordata,8,No,Sidewalk Pit,2,-71.4054677,41.82680516
POINT (-71.40114937570728 41.82910253655511),268,,THAYER ST,MEETING ST,Meeting St,BROWN ST,THAYER ST,Side,1,Acer rubrum,2.8,No,Sidewalk Pit,2,-71.40114938,41.82910254
POINT (-71.4051222542006 41.823968770731526),302,,BENEFIT ST,BENEFIT ST,Benefit St,HOPKINS ST,PLANET ST,Front,1,Platanus x acerifolia,16.7,No,Lawn Strip,2,-71.40512225,41.82396877
POINT (-71.40383600501157 41.8296323473438),37,,CUSHING ST,CUSHING ST,Cushing St,BROWN ST,PROSPECT ST,Front,2,Ginkgo biloba,21.6,No,Sidewalk Pit,2,-71.40383601,41.82963235
POINT (-71.40197609485308 41.82546685656032),110,Y,GEORGE ST,GEORGE ST,George St,THAYER ST,PROSPECT ST,Front,1,Tilia spp.,2,No,Sidewalk Pit,2,-71.40197609,41.82546686
POINT (-71.40053745912817 41.82806274232098),231,,THAYER ST,ANGELL ST,Angell St,THAYER ST,BROOK ST,Side,3,Gleditsia triacanthos,11,No,Sidewalk Pit,1,-71.40053746,41.82806274
POINT (-71.3979504209749 41.82403639912852),100,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,HOPE ST,CHARLESFIELD ST,Front,4,Ulmus americana,3,Yes,Sidewalk Pit,1,-71.39795042,41.8240364
POINT (-71.40175396882228 41.825386649651676),127,Y,GEORGE ST,GEORGE ST,George St,BROWN ST,THAYER ST,Front,4,Ulmus parvifolia,2.5,No,Sidewalk Pit,2,-71.40175397,41.82538665
POINT (-71.39704176083514 41.82369601310037),125,,HOPE ST,HOPE ST,Hope St,POWER ST,CHARLESFIELD CT,Front,2,Tilia cordata,20,No,Sidewalk Pit,1,-71.39704176,41.82369601
POINT (-71.39605281121602 41.832974128273314),295,,LLOYD AVE,LLOYD AVE,Lloyd Ave,HOPE ST,ARLINGTON AVE,Front,9,Prunus spp.,5.8,Yes,Lawn Strip,2,-71.39605281,41.83297413
POINT (-71.39676442917302 41.82666051640015),47,,MANNING ST,MANNING ST,Manning St,COOKE ST,HOPE ST,Front,4,Acer saccharum,5,No,Sidewalk Pit,1,-71.39676443,41.82666052
POINT (-71.39639761138253 41.829786683340714),30,,STIMSON AVE,STIMSON AVE,Stimson Ave,DIMAN PL,HOPE ST,Front,5,Acer rubrum,7.2,No,Lawn Strip,2,-71.39639761,41.82978668
POINT (-71.3972831016777 41.824419071262824),150,,HOPE ST,HOPE ST,Hope St,POWER ST,CHARLESFIELD ST,Side,1,Tilia cordata,3,No,Sidewalk Pit,1,-71.3972831,41.82441907
POINT (-71.40319243138175 41.827675789669435),107,,ANGELL ST,BROWN ST,Brown St,ANGELL ST,WATERMAN ST,Side,2,Gleditsia triacanthos,8,No,Sidewalk Pit,2,-71.40319243,41.82767579
POINT (-71.4050391057231 41.82450643878267),1,,BENEVOLENT ST,BENEVOLENT ST,Benevolent St,BENEFIT ST,BROWN ST,Front,2,Ulmus spp.,20.2,No,Sidewalk Pit,2,-71.40503911,41.82450644
POINT (-71.40493318502884 41.826851837336996),36,,PROSPECT ST,WATERMAN ST,Waterman St,BENEFIT ST,PROSPECT ST,Side,1,Gleditsia triacanthos,13,No,Sidewalk Pit,2,-71.40493319,41.82685184
POINT (-71.40631674988252 41.82687635742088),42,,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,BENEFIT ST,Front,4,Gleditsia triacanthos,2,No,Sidewalk Pit,2,-71.40631675,41.82687636
POINT (-71.40671755631112 41.82891264175333),88,,MEETING ST,CONGDON ST,Congdon St,PROSPECT ST,CONGDON ST,Side,1,Gleditsia triacanthos,19.4,Yes,Sidewalk Pit,2,-71.40671756,41.82891264
POINT (-71.39575114697969 41.82432985391011),7,,YOUNG ORCHARD AVE,YOUNG ORCHARD AVE,Young Orchard Ave,COOKE ST,HOPE ST,Front,2,Quercus robur,1,No,Sidewalk Pit,1,-71.39575115,41.82432985
POINT (-71.40155147600244 41.828073366777225),154,,ANGELL ST,ANGELL ST,Angell St,THAYER ST,BROWN ST,Front,5,Platanus x acerifolia,6.7,No,Sidewalk Pit,2,-71.40155148,41.82807337
POINT (-71.40167642978182 41.828509944725816),60,,OLIVE ST,OLIVE ST,Olive St,THAYER ST,BROWN ST,Front,4,Platanus x acerifolia,3.6,No,Sidewalk Pit,2,-71.40167643,41.82850994
POINT (-71.39871490367571 41.831853963027704),235,,LLOYD AVE,LLOYD AVE,Lloyd Ave,HOPE ST,ARLINGTON AVE,Front,1,Pyrus calleryana,5.8,Yes,Lawn Strip,2,-71.3987149,41.83185396
POINT (-71.40573273984607 41.82801520727648),52,,ANGELL ST,DEFOE PL,Defoe Pl,PROSPECT ST,CONGDON ST,Side,1,Fraxinus pennsylvanica,14.6,No,Sidewalk Pit,2,-71.40573274,41.82801521
POINT (-71.392542576665 41.83246123267899),23,,IRVING AVE,IRVING AVE,Irving Ave,ARLINGTON AVE,TABER AVE,Front,1,Cornus florida,7,Yes,Lawn Strip,2,-71.39254258,41.83246123
POINT (-71.40136797574168 41.828537925576036),60,,OLIVE ST,OLIVE ST,Olive St,THAYER ST,BROWN ST,Front,2,Platanus x acerifolia,5.6,No,Sidewalk Pit,2,-71.40136798,41.82853793
POINT (-71.4022811961291 41.82543787500364),94,Y,GEORGE ST,GEORGE ST,George St,THAYER ST,PROSPECT ST,Front,1,Tilia spp.,3,No,Sidewalk Pit,2,-71.4022812,41.82543788
POINT (-71.4045255630551 41.82601867956213),1,Y,PROSPECT ST,PROSPECT ST,Prospect St,COLLEGE ST,WATERMAN ST,Front,5,Acer platanoides,27,No,Sidewalk Pit,2,-71.40452556,41.82601868
POINT (-71.40036656765078 41.83013199478704),164,,CUSHING ST,CUSHING ST,Cushing St,BROOK ST,THAYER ST,Front,1,Gleditsia triacanthos,5.4,No,Lawn Strip,2,-71.40036657,41.83013199
POINT (-71.40350269048916 41.82379739336237),15,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,BROWN ST,BENEFIT ST,Front,6,Platanus x acerifolia,22.9,No,Sidewalk Pit,2,-71.40350269,41.82379739
POINT (-71.40425244307352 41.82690967868357),65,Y,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,BROWN ST,Front,3,Gleditsia triacanthos,3,No,Sidewalk Pit,2,-71.40425244,41.82690968
POINT (-71.40019426428294 41.82380063765833),42,,CHARLESFIELD ST,THAYER ST,Thayer St,CHARLESFIELD ST,POWER ST,Side,1,Platanus x acerifolia,2.5,Yes,Sidewalk Pit,2,-71.40019426,41.82380064
POINT (-71.39557569711025 41.82340866610662),158,,POWER ST,POWER ST,Power St,HOPE ST,COOKE ST,Front,1,Tilia cordata,17,Yes,Lawn Strip,1,-71.3955757,41.82340867
POINT (-71.39369727758229 41.832596135756546),89,,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,IRVING AVE,UNIVERSITY AVE,Front,3,Acer saccharum,14,Yes,Lawn Strip,2,-71.39369728,41.83259614
POINT (-71.40018866317511 41.831587302792414),246,,HOPE ST,LLOYD AVE,Lloyd Ave,HOPE ST,THAYER ST,Side,2,Tilia americana,4.5,No,Sidewalk Pit,2,-71.40018866,41.8315873
POINT (-71.40306683152102 41.82529596092756),71,,GEORGE ST,GEORGE ST,George St,MAGEE ST,BROWN ST,Front,4,Ulmus spp.,4.1,No,Sidewalk Pit,2,-71.40306683,41.82529596
POINT (-71.4005517720787 41.82672460610588),190,,THAYER ST,THAYER ST,Thayer St,WATERMAN ST,GEORGE ST,Front,4,Platanus x acerifolia,6,No,Sidewalk Pit,2,-71.40055177,41.82672461
POINT (-71.40012799685263 41.824375386041154),111,,THAYER ST,THAYER ST,Thayer St,BENEVOLENT ST,CHARLESFIELD ST,Front,6,Ulmus americana,4,No,Sidewalk Pit,1,-71.400128,41.82437539
POINT (-71.40736058419127 41.82750590345789),30,,WATERMAN ST,ANGELL ST,Angell St,BENEFIT ST,PROSPECT ST,Rear,1,Gleditsia triacanthos,23,No,Sidewalk Pit,2,-71.40736058,41.8275059
POINT (-71.3936637599087 41.832521195623244),89,,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,IRVING AVE,UNIVERSITY AVE,Front,2,Acer ginnala,3,Yes,Lawn Strip,2,-71.39366376,41.8325212
POINT (-71.40075828981263 41.82554850449174),124,Y,GEORGE ST,GEORGE ST,George St,THAYER ST,PROSPECT ST,Front,3,Platanus x acerifolia,10,No,Sidewalk Pit,2,-71.40075829,41.8255485
POINT (-71.40521479044334 41.824053218903636),296,,BENEFIT ST,BENEFIT ST,Benefit St,HOPKINS ST,PLANET ST,Front,4,Platanus x acerifolia,8.8,No,Sidewalk Pit,2,-71.40521479,41.82405322
POINT (-71.39867850559256 41.82408647936566),71,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,HOPE ST,CHARLESFIELD ST,Front,2,Tilia cordata,5,No,Sidewalk Pit,1,-71.39867851,41.82408648
POINT (-71.40038178222416 41.83148337880717),175,,LLOYD AVE,LLOYD AVE,Lloyd Ave,THAYER ST,HOPE ST,Front,1,Celtis occidentalis,0.9,Yes,Sidewalk Pit,2,-71.40038178,41.83148338
POINT (-71.40069499313722 41.82891699752797),261,,THAYER ST,THAYER ST,Thayer St,EUCLID AVE,MEETING ST,Front,1,Tilia americana,15.6,No,Sidewalk Pit,2,-71.40069499,41.828917
POINT (-71.39733807709086 41.82597208530143),170,,HOPE ST,HOPE ST,Hope St,GEORGE ST,WATERMAN ST,Front,1,Ulmus americana,2,No,Sidewalk Pit,1,-71.39733808,41.82597209
POINT (-71.40424307275212 41.827831530125714),94,,ANGELL ST,ANGELL ST,Angell St,BROWN ST,PROSPECT ST,Front,1,Gleditsia triacanthos,11.2,No,Sidewalk Pit,2,-71.40424307,41.82783153
POINT (-71.40329971974306 41.8278261885565),107,,ANGELL ST,ANGELL ST,Angell St,PROSPECT ST,BROWN ST,Front,4,Gleditsia triacanthos,5,No,Sidewalk Pit,2,-71.40329972,41.82782619
POINT (-71.39628722763632 41.823236059638084),151,,POWER ST,POWER ST,Power St,HOPE ST,GOVERNOR ST,Front,2,Tilia cordata,12.7,Yes,Lawn Strip,1,-71.39628723,41.82323606
POINT (-71.39980853967232 41.823994496424056),111,,THAYER ST,CHARLESFIELD ST,Charlesfield St,BROOK ST,THAYER ST,Side,3,Tilia cordata,6.1,No,Sidewalk Pit,1,-71.39980854,41.8239945
POINT (-71.39846025077499 41.8241017238387),71,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,HOPE ST,CHARLESFIELD ST,Front,1,Tilia cordata,8,No,Sidewalk Pit,1,-71.39846025,41.82410172
POINT (-71.40709770114131 41.82661759168673),235,,BENEFIT ST,BENEFIT ST,Benefit St,COLLEGE ST,WATERMAN ST,Front,4,Platanus x acerifolia,2.3,No,Sidewalk Pit,2,-71.4070977,41.82661759
POINT (-71.40027986433711 41.82543485210467),151,,THAYER ST,THAYER ST,Thayer St,BENEVOLENT ST,GEORGE ST,Front,2,Zelkova serrata,2,No,Sidewalk Pit,1,-71.40027986,41.82543485
POINT (-71.40434659519806 41.823706274914336),2,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,BENEFIT ST,BROWN ST,Front,1,Platanus x acerifolia,18.7,No,Lawn Strip,2,-71.4043466,41.82370627
POINT (-71.39842541316662 41.82966194979821),220,Y,HOPE ST,HOPE ST,Hope St,CUSHING ST,MEETING ST,Front,5,Quercus palustris,3.6,No,Sidewalk Pit,2,-71.39842541,41.82966195
POINT (-71.40148977170351 41.82384075148559),39,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,THAYER ST,BROWN ST,Front,3,Platanus x acerifolia,28.1,No,Sidewalk Pit,2,-71.40148977,41.82384075
POINT (-71.40010172806997 41.823160025579945),42,,CHARLESFIELD ST,THAYER ST,Thayer St,CHARLESFIELD ST,POWER ST,Side,4,Platanus x acerifolia,17.95,Yes,Sidewalk Pit,2,-71.40010173,41.82316003
POINT (-71.40348756165547 41.82697704396763),75,,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,THAYER ST,Front,2,Zelkova serrata,6,No,Sidewalk Pit,2,-71.40348756,41.82697704
POINT (-71.39952106278699 41.824798929054026),111,,THAYER ST,BENEVOLENT ST,Benevolent St,BROOK ST,THAYER ST,Side,2,Tilia cordata,9,No,Sidewalk Pit,1,-71.39952106,41.82479893
POINT (-71.40669032068725 41.82692737374315),219,,BENEFIT ST,WATERMAN ST,Waterman St,BENEFIT ST,PROSPECT ST,Side,7,Gleditsia triacanthos,4,No,Sidewalk Pit,2,-71.40669032,41.82692737
POINT (-71.39922616982433 41.82634859251753),340,,BROOK ST,BROOK ST,Brook St,WATERMAN ST,BROOK ST,Side,2,Malus spp,22,No,Sidewalk Pit,1,-71.39922617,41.82634859
POINT (-71.40455886034052 41.829588378182216),25,,CUSHING ST,CUSHING ST,Cushing St,BROWN ST,PROSPECT ST,Front,1,Zelkova serrata,26.8,No,Sidewalk Pit,2,-71.40455886,41.82958838
POINT (-71.39302723560371 41.83118370379136),46,Y,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,HUMBOLDT AVE,VILLA AVE,Front,2,Acer rubrum,7.5,No,Lawn - No Sidewalk,2,-71.39302724,41.8311837
POINT (-71.40371870088761 41.83043072661849),134,,BROWN ST,BROWN ST,Brown St,BOWEN ST,CUSHING ST,Front,2,Cornus florida,1,Yes,Lawn Strip,2,-71.4037187,41.83043073
POINT (-71.39838920334552 41.82960199187303),220,Y,HOPE ST,HOPE ST,Hope St,CUSHING ST,MEETING ST,Front,6,Quercus palustris,4.9,No,Sidewalk Pit,2,-71.3983892,41.82960199
POINT (-71.39619014611573 41.827667986105965),148,,WATERMAN ST,WATERMAN ST,Waterman St,COOKE ST,HOPE ST,Front,1,Gleditsia triacanthos,10,No,Sidewalk Pit,1,-71.39619015,41.82766799
POINT (-71.4019725693238 41.82382076369751),35,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,THAYER ST,BROWN ST,Front,1,Pyrus calleryana,12.9,No,Sidewalk Pit,2,-71.40197257,41.82382076
POINT (-71.39763115928942 41.82569814068338),195,,GEORGE ST,GEORGE ST,George St,HOPE ST,BROOK ST,Front,2,Betula nigra,4,No,Sidewalk Pit,1,-71.39763116,41.82569814
POINT (-71.40094261455856 41.82989510690843),292,,THAYER ST,THAYER ST,Thayer St,CUSHING ST,MEETING ST,Front,1,Acer campestre,3.9,No,Sidewalk Pit,2,-71.40094261,41.82989511
POINT (-71.39625008988932 41.8286834506352),296,,ANGELL ST,ANGELL ST,Angell St,DIMAN PL,HOPE ST,Front,4,Gleditsia triacanthos,16.6,No,Sidewalk Pit,2,-71.39625009,41.82868345
POINT (-71.39834762910407 41.8295430331874),220,Y,HOPE ST,HOPE ST,Hope St,CUSHING ST,MEETING ST,Front,7,Tilia cordata,12.3,No,Sidewalk Pit,2,-71.39834763,41.82954303
POINT (-71.40726131588988 41.82598150489724),236,,BENEFIT ST,COLLEGE ST,College St,BENEFIT ST,N MAIN ST,Side,3,Platanus x acerifolia,16,No,Sidewalk Pit,2,-71.40726132,41.8259815
POINT (-71.39863864874627 41.82834835870187),216,,HOPE ST,ANGELL ST,Angell St,HOPE ST,BROOK ST,Side,5,Gleditsia triacanthos,13.5,No,Sidewalk Pit,2,-71.39863865,41.82834836
POINT (-71.39963907004287 41.82479226271968),111,,THAYER ST,BENEVOLENT ST,Benevolent St,BROOK ST,THAYER ST,Side,3,Tilia cordata,9,No,Sidewalk Pit,1,-71.39963907,41.82479226
POINT (-71.39836997349012 41.82491471470628),95,,BENEVOLENT ST,BENEVOLENT ST,Benevolent St,HOPE ST,BROOK ST,Front,1,Gleditsia triacanthos,19,Yes,Sidewalk Pit,1,-71.39836997,41.82491471
POINT (-71.39386624680972 41.83284194755601),93,,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,IRVING AVE,UNIVERSITY AVE,Front,3,Gleditsia triacanthos,14,Yes,Lawn Strip,2,-71.39386625,41.83284195
POINT (-71.40282409160608 41.823811384818434),15,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,BROWN ST,BENEFIT ST,Front,1,Platanus x acerifolia,5,No,Sidewalk Pit,2,-71.40282409,41.82381138
POINT (-71.4006440311665 41.82849079041417),249,,THAYER ST,THAYER ST,Thayer St,ANGELL ST,EUCLID AVE,Front,1,Acer x freemanii 'Armstrong',3,No,Sidewalk Pit,2,-71.40064403,41.82849079
POINT (-71.4036435990354 41.83010096127989),120,,BROWN ST,BROWN ST,Brown St,BOWEN ST,CUSHING ST,Front,3,Pyrus calleryana,5.1,Yes,Sidewalk Pit,2,-71.4036436,41.83010096
POINT (-71.40187064538338 41.823822762476524),35,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,THAYER ST,BROWN ST,Front,1,Pyrus calleryana,13,No,Sidewalk Pit,2,-71.40187065,41.82382276
POINT (-71.400615616117 41.82921945537472),271,,THAYER ST,MEETING ST,Meeting St,BROOK ST,THAYER ST,Side,1,Zelkova serrata,4.4,Yes,Lawn Strip,2,-71.40061562,41.82921946
POINT (-71.40734714657654 41.82683894641085),226,,BENEFIT ST,BENEFIT ST,Benefit St,WATERMAN ST,COLLEGE ST,Front,2,Platanus x acerifolia,22.5,No,Sidewalk Pit,2,-71.40734715,41.82683895
POINT (-71.40508454564915 41.82693891233112),62,,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,BENEFIT ST,Front,2,Gleditsia triacanthos,3,No,Sidewalk Pit,2,-71.40508455,41.82693891
POINT (-71.39763545084321 41.82958082795831),8,,STIMSON AVE,STIMSON AVE,Stimson Ave,DIMAN PL,HOPE ST,Front,4,Gleditsia triacanthos,7.1,No,Lawn Strip,2,-71.39763545,41.82958083
POINT (-71.4021873905961 41.82911252962411),194,,MEETING ST,MEETING ST,Meeting St,THAYER ST,BROWN ST,Front,2,Platanus x acerifolia,5.5,Yes,Sidewalk Pit,2,-71.40218739,41.82911253
POINT (-71.40065207779274 41.82854975006631),249,,THAYER ST,THAYER ST,Thayer St,ANGELL ST,EUCLID AVE,Front,2,Acer x freemanii 'Armstrong',3,No,Sidewalk Pit,2,-71.40065208,41.82854975
POINT (-71.40014528540999 41.83014398627696),166,,CUSHING ST,CUSHING ST,Cushing St,BROOK ST,THAYER ST,Front,1,Gleditsia triacanthos,4.2,No,Lawn Strip,2,-71.40014529,41.83014399
POINT (-71.40342925337131 41.82834605664338),20,,OLIVE ST,OLIVE ST,Olive St,BROWN ST,PROSPECT ST,Front,1,Liriodendron tulipifera,4.9,No,Sidewalk Pit,2,-71.40342925,41.82834606
POINT (-71.40452334618483 41.826887693172075),65,Y,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,BROWN ST,Front,1,Gleditsia triacanthos,3,No,Sidewalk Pit,2,-71.40452335,41.82688769
POINT (-71.39754944066581 41.82405739008144),110,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,HOPE ST,CHARLESFIELD ST,Front,1,Ulmus americana,3,No,Sidewalk Pit,1,-71.39754944,41.82405739
POINT (-71.4048800048141 41.82521051503648),37,,GEORGE ST,GEORGE ST,George St,BENEFIT ST,MAGEE ST,Front,1,Pyrus calleryana,4.2,No,Sidewalk Pit,2,-71.40488,41.82521052
POINT (-71.39798150757363 41.8290159001717),216,,HOPE ST,HOPE ST,Hope St,MEETING ST,ANGELL ST,Front,2,Ulmus 'Patriot',11.8,No,Sidewalk Pit,2,-71.39798151,41.8290159
POINT (-71.39614799550431 41.826657526823105),59,,MANNING ST,MANNING ST,Manning St,COOKE ST,HOPE ST,Front,3,Tilia cordata,5,No,Sidewalk Pit,1,-71.396148,41.82665753
POINT (-71.40220351011895 41.82289026676455),66,,POWER ST,POWER ST,Power St,THAYER ST,BROWN ST,Front,5,Quercus robur,3.9,No,Sidewalk Pit,2,-71.40220351,41.82289027
POINT (-71.39969946244649 41.83140370308034),240,,HOPE ST,HOPE ST,Hope St,LLOYD AVE,BOWEN ST,Front,1,Pyrus calleryana,1,No,Lawn Strip,2,-71.39969946,41.8314037
POINT (-71.39662559915183 41.82861949453464),268,,ANGELL ST,ANGELL ST,Angell St,DIMAN PL,HOPE ST,Front,1,Gleditsia triacanthos,12.5,No,Sidewalk Pit,2,-71.3966256,41.82861949
POINT (-71.39590274382033 41.8287394121736),296,,ANGELL ST,ANGELL ST,Angell St,DIMAN PL,HOPE ST,Front,2,Gleditsia triacanthos,16.3,No,Sidewalk Pit,2,-71.39590274,41.82873941
POINT (-71.39596437917868 41.82423640806699),8,,YOUNG ORCHARD AVE,YOUNG ORCHARD AVE,Young Orchard Ave,COOKE ST,HOPE ST,Side,4,Quercus palustris,1,Yes,Sidewalk Pit,1,-71.39596438,41.82423641
POINT (-71.40320986574116 41.827750739326966),107,,ANGELL ST,BROWN ST,Brown St,ANGELL ST,WATERMAN ST,Side,1,Gleditsia triacanthos,11,No,Sidewalk Pit,2,-71.40320987,41.82775074
POINT (-71.40705746800424 41.826550635480764),235,,BENEFIT ST,BENEFIT ST,Benefit St,COLLEGE ST,WATERMAN ST,Front,3,Platanus x acerifolia,16.2,No,Sidewalk Pit,2,-71.40705747,41.82655064
POINT (-71.40301793126052 41.82993413486712),84,,CUSHING ST,CUSHING ST,Cushing St,DEAD END,BROWN ST,Front,1,Acer platanoides,19.5,No,Sidewalk Pit,2,-71.40301793,41.82993413
POINT (-71.40361266105917 41.82526048340961),67,,GEORGE ST,GEORGE ST,George St,MAGEE ST,BROWN ST,Front,1,Ulmus spp.,4.5,No,Sidewalk Pit,2,-71.40361266,41.82526048
POINT (-71.39686417942902 41.83253745605298),295,,LLOYD AVE,LLOYD AVE,Lloyd Ave,HOPE ST,ARLINGTON AVE,Front,3,Prunus spp.,3.4,Yes,Lawn Strip,2,-71.39686418,41.83253746
POINT (-71.39998269522893 41.83193263634169),249,,HOPE ST,HOPE ST,Hope St,LLOYD AVE,ALUMNI AVE,Front,1,Ulmus americana,2.2,Yes,Lawn Strip,2,-71.3999827,41.83193264
POINT (-71.40064329760003 41.8314748850132),165,,LLOYD AVE,LLOYD AVE,Lloyd Ave,THAYER ST,HOPE ST,Front,2,Acer rubrum,6.8,Yes,Sidewalk Pit,2,-71.4006433,41.83147489
POINT (-71.39908831866089 41.825313552039724),163,,GEORGE ST,BROOK ST,Brook St,BENEVOLENT ST,GEORGE ST,Front,3,Acer rubrum,4,No,Sidewalk Pit,1,-71.39908832,41.82531355
POINT (-71.4066358605506 41.82782013704069),1,,CONGDON ST,CONGDON ST,Congdon St,ANGELL ST,JENCKES ST,Front,2,Ulmus parvifolia,5.8,No,Sidewalk Pit,2,-71.40663586,41.82782014
POINT (-71.39790418859735 41.82414032817088),79,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,HOPE ST,CHARLESFIELD ST,Front,2,Tilia cordata,11,No,Lawn Strip,1,-71.39790419,41.82414033
POINT (-71.40601811201334 41.824885202225275),280,,BENEFIT ST,BENEFIT ST,Benefit St,HOPKINS ST,PLANET ST,Front,1,Platanus x acerifolia,17.1,No,Sidewalk Pit,2,-71.40601811,41.8248852
POINT (-71.4005480791816 41.83090479892594),248,,BOWEN ST,BOWEN ST,Bowen St,BROOK ST,THAYER ST,Front,2,Pyrus calleryana,10,No,Lawn Strip,2,-71.40054808,41.8309048
