Year,Date,Home/Away,Opponent,Result,Score,Location
1913,10/18/1913,at,Penn,L,0-28,"Philadelphia, Pa."
1913,10/25/1913,vs,Springfield,W,28-6,"Providence, R.I."
1913,11/01/1913,vs,Vermont,W,19-0,"Providence, R.I."
1913,11/08/1913,at,Yale,L,0-17,"New Haven, Conn."
1913,11/15/1913,at,Harvard,L,0-37,"Boston, Mass."
1913,11/27/1913,vs,Carlisle,L,0-13,"Providence, R.I."
1914,09/26/1914,vs,Norwich,W,24-0,"Providence, R.I."
1914,10/03/1914,vs,Rhode Island State,W,20-0,"Providence, R.I."
1914,10/10/1914,vs,Amherst,T,0-0,"Providence, R.I."
1914,10/15/1914,vs,Wesleyan,W,16-0,"Providence, R.I."
1914,10/24/1914,vs,Cornell,L,7-28,"New York, N.Y. (Polo Grounds)"
1914,10/31/1914,vs,Vermont,W,12-9,"Providence, R.I."
1914,11/07/1914,at,Yale,L,6-14,"New Haven, Conn."
1914,11/14/1914,at,Harvard,T,0-0,"Boston, Mass."
1914,11/26/1914,vs,Carlisle,W,20-14,"Providence, R.I."
1915,09/25/1915,vs,Rhode Island State,W,38-0,"Providence, R.I."
1915,10/02/1915,vs,Trinity (Conn.),T,0-0,"Providence, R.I."
1915,10/09/1915,at,Amherst,L,0-7,"Amherst, Mass."
1915,10/16/1915,vs,Williams,W,33-0,"Providence, R.I."
1915,10/23/1915,vs,Syracuse,L,0-6,"Providence, R.I."
1915,10/30/1915,vs,Vermont,W,46-0,"Providence, R.I."
1915,11/06/1915,at,Yale,W,3-0,"New Haven, Conn."
1915,11/13/1915,at,Harvard,L,7-16,"Boston, Mass."
1915,11/27/1915,vs,Carlisle,W,39-3,"Providence, R.I."
1915,01/01/1916,vs,Washington State,L,0-14,"Pasadena, Calif. (Tournament Park)"
1916,09/30/1916,vs,Rhode Island State,W,18-0,"Providence, R.I."
1916,10/07/1916,vs,Trinity (Conn.),W,42-0,"Providence, R.I."
1916,10/14/1916,vs,Amherst,W,69-0,"Providence, R.I."
1916,10/21/1916,at,Williams,W,20-0,"Williamstown, Mass."
1916,10/28/1916,vs,Rutgers,W,21-3,"Providence, R.I."
1916,11/04/1916,vs,Vermont,W,42-0,"Providence, R.I."
1916,11/11/1916,at,Yale,W,21-6,"New Haven, Conn."
1916,11/18/1916,at,Harvard,W,21-0,"Boston, Mass."
1916,11/25/1916,vs,Colgate,L,0-28,"Providence, R.I."
1917,09/29/1917,vs,Rhode Island State,W,27-0,"Providence, R.I."
1917,10/06/1917,vs,Johns Hopkins,W,20-0,"Providence, R.I."
1917,10/12/1917,at,Holy Cross,W,27-6,"Worcester, Mass."
1917,10/20/1917,vs,Boston College,W,7-2,"Providence, R.I."
1917,10/27/1917,vs,Colgate,W,7-6,"Providence, R.I."
