Genre,Decade,Popularity,Location,Band,Year,Artist
Jazz & R&B,00s,0,NY,TRUE,2009,Sharon Jones and the Dap-Kings
Alternative & Folk,00s,0,US,FALSE,2009,Toubab Krewe
Electronic,10s,50+,US,FALSE,2010,Major Lazer
Alternative & Folk,10s,0+,US,FALSE,2010,MGMT
Rap & Reggae/Ska,10s,200+,US,FALSE,2010,Snoop Dogg
Rock,10s,0+,US,TRUE,2010,The Black Keys
Rap & Reggae/Ska,10s,200+,US,FALSE,2010,Wale
Rap & Reggae/Ska,10s,0,NY,TRUE,2011,Das Racist
Rap & Reggae/Ska,10s,200+,NY,TRUE,2011,Diddy - Dirty Money
Jazz & R&B,10s,0,US,TRUE,2011,Lee Fields & the Expressions
Electronic,10s,0,NY,FALSE,2011,Nicolas Jaar
Alternative & Folk,10s,0,NY,TRUE,2011,TV on the Radio
Rap & Reggae/Ska,10s,200+,Other,FALSE,2011,Wyclef Jean
Rap & Reggae/Ska,10s,50+,NY,FALSE,2012,Cam'ron
Jazz & R&B,10s,200+,US,FALSE,2012,Childish Gambino
Electronic,10s,0,NY,TRUE,2012,Sepalcure
Electronic,10s,0,US,TRUE,2012,The Glitch Mob
Alternative & Folk,10s,0,NY,TRUE,2012,The Walkmen
Alternative & Folk,10s,0,Other,FALSE,2012,Twin Shadow
Electronic,10s,0,Canada,FALSE,2013,A-Trak
Rap & Reggae/Ska,10s,0,US,FALSE,2013,Big Freedia
Alternative & Folk,10s,0,US,TRUE,2013,Deerhunter
Alternative & Folk,10s,0,NY,TRUE,2013,Dirty Projectors
Rap & Reggae/Ska,10s,200+,US,FALSE,2013,Kendrick Lamar
Alternative & Folk,10s,0,US,FALSE,2014,Andrew Bird
Rap & Reggae/Ska,10s,200+,US,FALSE,2014,Chance the Rapper
Pop,10s,0,US,TRUE,2014,Cloud Nothings
Electronic,10s,0,US,FALSE,2014,Dan Deacon
Electronic,10s,50+,US,FALSE,2014,Diplo
Rap & Reggae/Ska,10s,50+,US,FALSE,2014,Lauryn Hill
Electronic,10s,0,Other,FALSE,2015,Hudson Mohawke
